Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,cnn_per_mw,Mol,TPSA,QED,N_RotBonds
[H]c1c([H])c(-c2c(Sc3c(OC([H])(F)F)c([H])c(OC(F)(F)F)c([H])c3C3([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])n([H])c2=O)c([H])c(C([H])([H])N([H])[H])c1[H],1349,fegrow_gen/c1(-c2cccc(CN)c2)c(Sc2c(OC(F)F)cc(OC(F)(F)F)cc2C2CCC2)cc[nH]c1=O.sdf,6.7748,0.0137886398606237,491.332,5,2,6.4193,False,False,False,False,7.67015760590015,-0.0137886398606237,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f71fc0>,77.34,0.3408291845016148,8
[H]N=C(N([H])[H])N1C([H])([H])C([H])([H])C([H])(c2c(S[H])c(-c3c([H])c([H])c([H])c(C([H])([H])N([H])[H])c3[H])c(=O)n([H])c2[H])C([H])([H])C1([H])[H],12208,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c(C2CCN(C(=N)N)CC2)c[nH]c1=O.sdf,5.60221,0.0167580818369184,334.299,4,5,1.86217,True,False,True,False,6.78092101140712,-0.0167580818369184,<rdkit.Chem.rdchem.Mol object at 0x7ff0d71658c0>,111.99,0.3278118471094625,3
[H]Sc1c(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])n(-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c(=O)c1-c1c([H])c([H])c([H])c(C([H])([H])N([H])[H])c1[H],3554,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c(C2CCOCC2)cn(-c2ccc(C(F)(F)F)cc2)c1=O.sdf,6.4739,0.0148030008894742,437.337,5,2,5.1647,True,False,True,False,7.98362634421865,-0.0148030008894742,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f36ce0>,57.25,0.5287689963990746,4
[H]Sc1c(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])n([H])c(=O)c1-c1c([H])c([H])c([H])c(C([H])([H])N([H])[H])c1[H],12084,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c(C2CCOCC2)c[nH]c1=O.sdf,5.62008,0.0189697096528119,296.266,4,3,2.6833,True,False,True,False,4.5493199178762,-0.0189697096528119,<rdkit.Chem.rdchem.Mol object at 0x7ff0d716a1f0>,68.11,0.7627032397914265,3
[H]c1c([H])c(C([H])([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])c(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1C(F)(F)F,12359,fegrow_gen/c1c(SCc2c(N3CCNCC3)cc(C(F)(F)F)cc2)cc(N=C=S)[nH]c1=O.sdf,5.57905,0.0136289461662672,409.353,6,2,3.8299,True,False,True,True,7.38461397188487,-0.0136289461662672,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7161b60>,60.49,0.4323862293416287,5
[H]Sc1c(C2([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1-c1c([H])c([H])c([H])c(C([H])([H])N([H])[H])c1[H],12470,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c(C2CCNCC2)c[nH]c1=O.sdf,5.56276,0.0189033349871208,294.274,4,4,2.2563,True,False,True,False,6.2585869841002,-0.0189033349871208,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70bcc80>,70.91,0.6566959079316317,3
[H]c1c([H])c(-c2c(Sc3c([H])c([H])c(OC(F)(F)F)c([H])c3[H])c([H])c([H])n(N([H])S(=O)(=O)N([H])[H])c2=O)c([H])c(C([H])([H])N([H])[H])c1[H],3888,fegrow_gen/c1(-c2cccc(CN)c2)c(Sc2ccc(OC(F)(F)F)cc2)ccn(NS(N)(=O)=O)c1=O.sdf,6.43847,0.0137175223335556,469.361,7,3,2.7708,True,False,False,False,7.25109642472282,-0.0137175223335556,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f280b0>,129.44,0.4710185449201492,7
[H]Sc1c(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])n(-c2c([H])c([H])c(C(F)(F)F)c([H])c2-c2nc([H])c([H])s2)c(=O)c1-c1c([H])c([H])c([H])c(C([H])([H])N([H])[H])c1[H],319,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c(C2CCOCC2)cn(-c2ccc(C(F)(F)F)cc2-c2nccs2)c1=O.sdf,7.07939,0.0136287838535049,519.444,7,2,6.2882,False,False,True,False,4.32080093001097,-0.0136287838535049,<rdkit.Chem.rdchem.Mol object at 0x7ff0d61a6ff0>,70.14,0.2905111175235895,5
[H]c1nc([H])c([H])c(C([H])([H])O[C@]([H])(C(F)(F)F)[C@@]([H])(c2c([H])c([H])c(=O)n([H])c2[H])N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c1[H],13003,fegrow_gen/c1cc([C@@H](NCc2ccccc2Cl)C(C(F)(F)F)OCc2ccncc2)c[nH]c1=O.sdf,5.47907,0.0130860025268869,418.697,4,2,4.4019,True,False,False,False,7.06908422228268,-0.0130860025268869,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70db760>,67.00999999999999,0.5478143084065212,8
[H]c1c([H])c([H])c([C@@]([H])(N2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])[C@]([H])(C([H])([H])Oc2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],4028,fegrow_gen/c1([C@@H](C)CCC2CCCC2)c(OC[C@H](CN2CCCCC2)C(c2ccccc2)N2CCC(C)CC2)cc[nH]c1=O.sdf,6.42367,0.0129927549129861,494.404,4,1,7.40290000000001,False,False,False,False,9.12214703417809,-0.0129927549129861,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f2bdf0>,48.57,0.3007091901062285,12
