cnn_per_mw,Smiles
-0.0162499018256369,[H]c1nc([C@@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])N([H])C([H])([H])[H])C2([H])[H])nc(C(F)(F)F)c1[H]
-0.0134439073456002,[H]c1nc(C([H])([H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n(-c3c([H])c([H])c(Br)c([H])c3[H])c2=O)C([H])([H])[H])c(C(F)(F)F)c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H]
-0.0160520669549266,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(c2c([H])sc3c([H])c([H])c([H])c([H])c23)C([H])([H])[H])c1=O
-0.0163718313424206,[H]c1c(C([H])([H])Cl)c([H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]1([H])C([H])([H])OC([H])([H])C1([H])[H]
-0.0171357454240411,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)n([H])c1[H]
-0.0160948780231656,[H]c1nc([H])n(C([H])([H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C(F)(F)F)c1[H]
-0.0127744029769149,[H]c1c([H])c(Cl)c(-c2c([H])c([H])c3c(c2[H])c([H])c([H])n3[H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2-n2c([H])c(N([H])N([H])[H])c([H])c2-c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)c1[H]
-0.0107695143900274,[H]OC(c1c([H])c(P(=O)(O[H])O[H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])I)c1=O)(C([H])([H])[H])C([H])([H])[H]
-0.0155761549547092,[H]N=C(N([H])[H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)[C@@]([H])(C([H])([H])c1sc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c(F)c1-n1c([H])nc([H])c1[H]
-0.0128244698693598,[H]C(=C([H])[C@@]([H])(c1c(-c2c([H])c([H])nc([H])c2[H])c(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c(=O)n([H])c1[H])N([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
-0.0210510780520589,[H]c1c([H])c([H])c(-n2c([H])c(N=C=S)c([H])c([H])c2=O)c([H])c1[H]
-0.0145799326291314,[H]c1nc(Cl)c([H])c([H])c1[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])N([H])C([H])([H])[H])[C@@]1([H])N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
-0.0190692175746703,[H]c1oc([H])c(-n2c([H])c([H])c([H])c(N3C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C3([H])[H])c2=O)c1[H]
-0.0153395239037766,[H]c1nn(C([H])([H])[H])c([H])c1-n1c([H])c([H])c([H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O
-0.0167162992391648,[H]c1nc(N([H])n2c([H])c(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c2=O)sc1[H]
-0.0165584611371405,[H]c1nc([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C(F)(F)F)n1
