Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,cnn_per_mw,Mol,TPSA,QED,N_RotBonds
[H]Oc1c(OC([H])([H])[H])c([H])nc([H])c1-n1c([H])c(N2C(=O)C([H])=C([H])C2=O)c(S[H])c([H])c1=O,10895,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2O)c1=O.sdf,5.76617,0.0172511727818865,334.248,8,2,0.6648,True,False,True,True,6.70958912618747,-0.0172511727818865,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7189540>,101.73,0.6260572866011282,3
[H]C(=O)c1c([H])c([H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2-c2c([H])c([H])c([H])c3c2c(-c2c([H])c([H])c([H])c([H])c2Cl)c([H])n3[H])c([H])c1Cl,1524,fegrow_gen/c1(-c2cccc3[nH]cc(-c4ccccc4Cl)c23)c(SCc2ccc(C=O)c(Cl)c2)cc[nH]c1=O.sdf,6.74057,0.0138329960885072,487.282,3,2,7.6018,False,False,True,True,7.55891937845178,-0.0138329960885072,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f6ece0>,65.72,0.1844974468726982,6
[H]OC(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C(F)(F)F)c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])[H],13246,fegrow_gen/c1(-c2c(C(C)(C)O)ccc(CNC(=O)C(F)(F)F)c2)c(S)cc[nH]c1=O.sdf,5.43888,0.0147291738319174,369.259,4,4,2.7365,True,False,True,False,7.39148708456759,-0.0147291738319174,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e62d0>,82.19,0.6101489425361157,4
[H]c1nc([H])c([C@]([H])(c2nc(N(C([H])([H])[C@@]([H])([C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])[H])S(=O)(=O)N([H])[H])c([H])c([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],3956,fegrow_gen/c1([C@@H](C)[C@@H](CN(S(N)(=O)=O)c2cccc(C(CCNC)c3cncc(OC)c3)n2)[C@@H]2CCNC2)ccc[nH]c1=O.sdf,6.43228,0.01212676746729,530.42,8,4,1.9542,True,False,False,False,8.85625729484306,-0.01212676746729,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f29e70>,155.32999999999998,0.2434850958623798,13
[H]OC(c1c([H])c(P(=O)(O[H])O[H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])[H],14529,fegrow_gen/c1(-c2c(C(C)(C)O)cc(P(=O)(O)O)c(CN)c2)c(S)cc[nH]c1=O.sdf,5.1279,0.014600458408667,351.215,5,6,0.8197,True,False,True,False,7.90683526333587,-0.014600458408667,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d05930>,136.64,0.3482335889592161,4
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n([H])c(=O)c1Br,14540,fegrow_gen/c1(Br)c(S)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,5.12398,0.0173060074776834,296.081,4,2,0.8555,True,False,True,True,5.83103336402191,-0.0173060074776834,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d05e00>,70.24000000000001,0.5967652830208273,1
[H]c1c(S(=O)(=O)C([H])([H])C([H])([H])[H])nc([C@@]([H])(C([H])([H])[C@@]([H])(c2c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c([H])n([H])c2=O)C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(C(F)(F)F)c1[H],7105,fegrow_gen/c1([C@@H](C)C[C@H](c2nc(S(=O)(=O)CC)ccc2C(F)(F)F)S(C)(=O)=O)cc(CCC)c[nH]c1=O.sdf,6.13437,0.0127436181881637,481.368,6,1,3.8143,True,False,False,False,7.70466502471075,-0.0127436181881637,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7974c80>,114.03,0.5509692099206643,9
[H]O[C@](c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])nc([H])c([H])c1[H],12394,fegrow_gen/c1(-c2c(C(C)(CNCc3cccnc3)O)ccc(CN)c2)c(S)cc[nH]c1=O.sdf,5.57428,0.0149715838893007,372.324,6,5,2.1816,True,False,True,False,7.71501415706325,-0.0149715838893007,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7162ab0>,104.03,0.3939470172757056,7
[H]c1c([H])c(-c2c([H])c(C(=O)N([H])[C@@]([H])(N([H])[C@@]([H])(C(=O)C([H])([H])C([H])([H])[H])C3([H])C([H])([H])C3([H])[H])C([H])([H])[H])c([H])n([H])c2=O)c([H])c2c1OC([H])([H])O2,12841,fegrow_gen/c1(-c2ccc3c(c2)OCO3)cc(C(=O)N[C@H](C)NC(C2CC2)C(=O)CC)c[nH]c1=O.sdf,5.50591,0.014254487932936,386.258,6,3,2.1937,True,False,True,True,7.79020723816536,-0.014254487932936,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70d6ff0>,109.52,0.5747372948357061,8
[H]C1=C([H])C(=O)N(c2c(Sc3nc([H])c(N([H])[H])nc3[H])c([H])c(=O)n([H])c2[H])C1=O,13431,fegrow_gen/c1c(Sc2cnc(N)cn2)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,5.40078,0.0176356606866465,306.242,7,2,0.3277,True,False,True,True,6.43569002838872,-0.0176356606866465,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70bb450>,122.04,0.7823462593370092,3
