cnn_per_mw,Smiles
-0.0127751491647447,[H]OC(=O)C([H])=C([H])C([H])([H])[C@@]([H])(C([H])([H])C(F)(F)F)[C@@]([H])(c1c([H])c(S[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])[C@@]([H])(O[H])C2([H])C([H])([H])C2([H])[H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0132239264658463,[H]C1=C([H])C(=O)N(c2c(SC([H])([H])N([H])[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])c3c([H])c([H])nc([H])c3[H])c(-c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])c(=O)n([H])c2[H])C1=O
-0.0156995259041763,[H]Sc1c(-c2c([H])c([H])c([H])c(N([H])[H])c2[H])c(N=C=S)n([H])c(=O)c1C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
-0.0167748651682773,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c([H])nc([H])nc1[H])N([H])C(=O)c1c([H])c([H])c(=O)n([H])c1[H]
-0.0140194933463501,[H]c1nc([H])c([H])c([C@]([H])(C([H])([H])[H])[C@@]([H])(c2c([H])c([H])c(S[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])n([H])c2=O)C([H])([H])[H])c1[H]
-0.0102929253182279,[H]OC(=O)C([H])=C([H])C([H])([H])[C@@]([H])(C([H])([H])C(F)(F)F)[C@@]([H])(c1c([H])c(S[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])[C@@]([H])(O[H])C2([H])C([H])([H])C2([H])[H])c([H])n(SC(F)(F)F)c1=O)C([H])([H])[H]
-0.0128954836584635,[H]c1c(-c2c(S[C@@]([H])(SC([H])([H])[H])c3c([H])c(Cl)c([H])c(O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c3[H])c([H])c(=O)n([H])c2[H])nc(C([H])([H])[H])c([H])c1[H]
-0.013833496587462,[H]C1=C([H])C(=O)N(c2c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(c3nc(OC([H])([H])[H])c([H])c([H])c3[H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])C3([H])[H])c(=O)n([H])c2[H])C1=O
-0.0159099624611004,[H]c1nc2c([C@@]([H])(c3c([H])c([H])c(C#N)c([H])c3[H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])[H])c([H])c([H])c([H])c2c([H])c1[H]
-0.014650168457786,[H]O[C@]1([H])C([H])([H])N(N(C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)[C@@]([H])(c2nnn([H])n2)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])C1([H])[H]
-0.0149915003627734,[H]c1nn([H])c([H])c1C([H])([H])S(=O)(=O)c1c([H])c(SC([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c(=O)n1[H]
-0.0127609419377447,[H]c1c([H])c(N([H])c2c(Cl)c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c2C([H])([H])Sc2c(C([H])([H])OC([H])([H])[H])c([H])n([H])c(=O)c2[H])c(C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c1F
-0.0132061150844129,[H]c1nc2c([C@@]([H])(OC([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H]
-0.0129487879167803,[H]O[C@]([H])(c1c([H])c([H])c([H])c(-c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])c1-c1nc(-c2nc([H])c(F)c([H])c2[H])c(F)c([H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O
