,Lib_size,Training_size,<-6_cnnaff_per_mw,Time,Avg_cnnaff_per_mw,Cycle,Target_cnn_to_beat
0,15721,74,0,77.15733695030212,0.2593697128122489,0,0.015625
0,15721,99,0,29.55112934112549,0.2483974378413435,1,0.015625
