cnnaff,Smiles
6.39044,[H]c1nc(-n2c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])[C@@]([H])(C(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C3=NC([H])([H])C([H])([H])N3[H])c2=O)n([H])c1[H]
4.90932,[H]ON=C([H])c1c([H])c([H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[C@](C([H])([H])[H])(C([H])([H])O[H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(=O)n1[H]
5.73081,[H]c1c([H])c([C@]([H])(Oc2c([H])c(C(=O)N([H])[C@]([H])(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])c(=O)n([H])c2[H])OC([H])([H])C([H])([H])C([H])([H])[N+](=O)[O-])c([H])c([H])c1F
5.7233,[H]c1nc([H])c(C([H])([H])[C@@]([H])(N([H])[C@]2([H])N(c3c([H])c([H])n(-c4sc([H])c([H])c4[H])c(=O)c3[H])C([H])([H])C([H])([H])OC2([H])[H])C([H])([H])[H])nc1[H]
5.74917,[H]OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(n2c([H])c([H])c(S[C@]([H])(c3oc([H])c([H])c3[H])c3c([H])c(Cl)c([H])c([H])c3C([H])([H])N([H])C([H])([H])C([H])([H])[H])c([H])c2=O)C([H])([H])C1([H])[H]
5.71254,[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])F)C1([H])[H]
5.70186,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])[C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c(C([H])([H])N([H])C(=O)c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])n([H])c(=O)c1[H]
5.701,[H]c1c(SO[C@]2([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@@]2([H])OC([H])([H])C([H])([H])F)c(C(=O)N([H])N([H])[H])c(=O)n(-c2nnn([H])n2)c1[H]
4.91311,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])[C@@]3([H])C([H])([H])N([H])[C@@]([H])(OC([H])([H])[H])C3([H])[H])c([H])c2[H])c([H])n(N([H])C(=O)C([H])([H])[H])c(=O)c1[H]
5.80811,[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n(N([H])C([H])([H])[H])c1[H])C([H])([H])[C@]([H])(c1c([H])c([H])nn1C([H])([H])[H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
5.69135,[H]c1c([H])c([H])n(C([H])([H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H]
5.69062,[H]c1c([H])c(C([H])([H])S[C@@]([H])(C([H])([H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)c2c([H])c([H])c([H])n([H])c2=O)[C@@]([H])(N([H])[H])C([H])([H])[H])c(OC([H])([H])[H])c([H])c1OC([H])([H])[H]
5.8163,[H]ON([H])C(=O)C([H])=C(c1c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c(=O)n([H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])[C@@]([H])(n2c([H])c([H])c([H])c2[H])C1([H])[H]
5.8255,[H]Sc1c(N(C(=O)c2c([H])c([H])c(OC([H])([H])[H])c(C3=C([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c2[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c(=O)c1[H]
5.82646,[H]OC(=O)c1c(C([H])([H])c2c([H])c([H])c(N([H])c3c([H])c([H])c(F)c([H])c3[H])c(=O)n2[H])c(C([H])([H])OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])nn1[H]
5.04908,[H]c1nc(C([H])([H])[H])n([C@@]2([H])C([H])([H])C([H])([H])N([C@@]([H])(N([H])C(=O)c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@]2([H])c2nnn([H])n2)c1[H]
5.82686,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])n(N2[C@@]([H])(OC([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[C@@]2([H])[C@@]2([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(=O)c1[H]
5.66399,[H]ON([H])C(=O)C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c(=O)n([C@]2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c1C(=O)N([H])C([H])([H])[H]
5.65481,[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n(C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])F)c1[H])N([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H]
