Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,TPSA,QED,N_RotBonds,logp_cnn_per_mw
[H]OP(=O)(O[H])C([H])(N([H])[C@@]([H])(N([H])c1c([H])c([H])n([H])c(=O)c1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])P(=O)(O[H])O[H],14589,fegrow_gen/c1(-c2ccc(S(N)(=O)=O)cc2)c(NC([C@H](C)NCCN(C)C)NC(P(=O)(O)O)P(=O)(O)O)cc[nH]c1=O.sdf,5.10744,-0.1949949895708457,550.257,9,9,-0.8044,False,False,True,True,8.44510055157382,247.41,0.1037443208508776,13,0.1949949895708457
[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n(C([H])([H])c2c([H])c([H])c(C(F)(F)F)c(-c3c([H])n([H])c4c([H])c([H])c([H])c([H])c34)c2[H])c1[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C(=O)N([H])C1([H])C([H])([H])C1([H])[H],8192,fegrow_gen/c1cc(C=CC(=O)N(O)CC[C@H](O)C(NC2CC2)=O)cn(Cc2cc(-c3c[nH]c4ccccc34)c(C(F)(F)F)cc2)c1=O.sdf,6.04081,-0.5220192449783476,565.358,6,4,4.3243,True,False,True,False,7.97934315403193,127.66,0.1235796269237029,10,0.5220192449783476
[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@]3([H])C([H])([H])[C@]3([H])N([H])N([H])[H])[C@@]([H])(C(=O)C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H])C2([H])[H])c([H])n([H])c(=O)c1[H],13474,fegrow_gen/c1cc(C(=O)NCCC(=O)N2C[C@H](C(CNCCOC)=O)[C@@H](C[C@H]3C[C@@H]3NN)CC2)c[nH]c1=O.sdf,5.392,-0.154396165668882,440.29,8,5,-0.9935,True,False,True,True,8.72338258661394,158.65,0.1378317797017137,13,0.154396165668882
[H]ON([H])C(=O)C([H])=C([H])c1c([H])c(N(C([H])([H])[H])[C@]([H])(c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c(C(=O)N([H])[H])c(C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c2[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c(=O)n([H])c1[H],9141,fegrow_gen/c1(N(C)C(c2c(-c3ccc(C(N)=O)c(CCN(C)C)c3)cccc2)CC(=O)NC)cc(C=CC(=O)NO)c[nH]c1=O.sdf,5.94602,-0.3594857553096073,524.367,7,5,2.0771,True,False,True,False,8.3990975978026,160.86,0.1287341891765117,12,0.3594857553096073
[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@]3([H])C([H])([H])[C@]3([H])N([H])N([H])[H])[C@@]([H])(C(=O)C([H])([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])c([H])n([H])c(=O)c1[H],10673,fegrow_gen/c1cc(C(=O)NCCC(=O)N2C[C@H](C(CCC3CCCCC3)=O)[C@@H](C[C@H]3C[C@@H]3NN)CC2)c[nH]c1=O.sdf,5.79066,-0.3365528981434203,458.328,6,4,2.131,True,False,True,True,8.89529134767373,137.39,0.2718885585683057,11,0.3365528981434203
[H]c1nc([H])c([H])c(C([H])([H])OC([H])([H])C(=O)[C@@]2([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N([H])C(=O)c3c([H])c([H])c(=O)n([H])c3[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H],9142,fegrow_gen/c1cc(C(=O)NCCC(=O)N2C[C@H](C(COCc3ccncc3)=O)[C@@H](CC3CC3)CC2)c[nH]c1=O.sdf,5.94587,-0.3128526834397767,448.309,6,2,1.9405,True,False,False,False,8.34627009007715,121.45999999999998,0.5070121325521891,11,0.3128526834397767
[H]ON([H])C(=O)C([H])=C([H])c1c([H])c(N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c(C(=O)N([H])[H])c([H])c2[H])c(=O)n([H])c1[H],11707,fegrow_gen/c1(N(C)Cc2c(-c3ccc(C(N)=O)cc3)cccc2)cc(C=CC(=O)NO)c[nH]c1=O.sdf,5.66893,-0.311301253916702,396.277,5,4,2.2958,True,False,True,False,3.56166312904366,128.51999999999998,0.2658540763975323,7,0.311301253916702
[H]c1nc([C@@]([H])(C(=O)[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N([H])C(=O)n2c(-c3nnc(C([H])([H])[H])o3)c([H])c([H])c([H])c2=O)c2c([H])c([H])c(C(=O)N([H])[H])c([H])c2[H])n(C([H])([H])[H])c1[H],2924,fegrow_gen/c1ccc(-c2nnc(C)o2)n(C(=O)N[C@H]2CCC[C@@H]2C([C@H](c2nccn2C)c2ccc(C(N)=O)cc2)=O)c1=O.sdf,6.54629,-0.330529525462908,502.341,10,2,2.16672,True,False,False,False,8.04602443207446,168.0,0.3670674651232798,7,0.330529525462908
[H]c1c([H])c([H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])[C@@]([H])(n2nc(OC([H])([H])[H])oc2=O)[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(c2c(OC([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c([H])c1[H],878,fegrow_gen/c1([C@@H](C)CC[C@@H]2[C@H](C(n3nc(OC)oc3=O)CN(C)Cc3ccccc3)CCC2)c(OCCCN2CCCCC2)cc[nH]c1=O.sdf,6.87556,-0.5532768033538824,570.415,9,1,5.46130000000001,False,False,False,False,9.14407238905086,105.82999999999998,0.2103414071005956,16,0.5532768033538824
[H]OC(=O)C([H])=C([H])[C@]([H])(OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])O[C@@]([H])(C([H])=C([H])[H])C1([H])[H])[C@]([H])(c1c([H])nc([H])nc1[H])N([H])C(=O)c1c([H])c([H])c(=O)n([H])c1[H],11278,fegrow_gen/c1cc(C(=O)N[C@H]([C@H](C=CC(=O)O)OCCN2CCOC(C=C)C2)c2cncnc2)c[nH]c1=O.sdf,5.72178,-0.2380735381564248,442.282,8,3,0.5488,True,False,True,False,8.28472293167636,146.73999999999998,0.3169866103456109,11,0.2380735381564248
