Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,cnn_per_mw,Mol,TPSA,QED,N_RotBonds
[H]Sc1c(N2C(=O)C([H])=C([C@]([H])(OC([H])([H])[H])c3c([H])nn([H])c3[H])C2=O)c([H])n([H])c(=O)c1[H],13983,fegrow_gen/c1c(S)c(N2C(=O)C(C(OC)c3cn[nH]c3)=CC2=O)c[nH]c1=O.sdf,5.28096,0.0164903745569798,320.245,6,3,0.574,True,False,True,False,7.40920944140099,-0.0164903745569798,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6cf6810>,108.15,0.5603807634816845,4
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])[H])c2O[C@]2([H])N=C(N([H])[H])OC2([H])[H])c(=O)c1[H],10815,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2O[C@H]2COC(N)=N2)c1=O.sdf,5.77589,0.0139415246177835,414.294,11,2,0.0089999999999997,True,False,True,True,7.5805721509364,-0.0139415246177835,<rdkit.Chem.rdchem.Mol object at 0x7ff0d710f1b0>,138.34,0.5006882231752743,5
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])[H])c2-c2c([H])nc(C(F)(F)F)c(-c3c([H])nc([H])c(F)c3[H])c2[H])c(=O)c1[H],103,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2-c2cc(-c3cncc(F)c3)c(C(F)(F)F)nc2)c1=O.sdf,7.26294,0.0131011082730854,554.376,9,1,4.2411,True,False,True,True,6.99828190471167,-0.0131011082730854,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78f3f40>,107.28,0.2177306305751438,5
[H]Sc1c([H])c([H])n(N2[C@]([H])(c3nnn([C@@]4([H])OC([H])([H])C([H])([H])C4([H])[H])n3)c3c([H])c([H])c([H])c([H])c3[C@@]([H])(C([H])([H])n3nc([H])nc3[H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[H])c(=O)c1[H],5658,fegrow_gen/c1c(S)ccn(N2[C@@H](CCC)[C@H](Cn3cncn3)c3ccccc3[C@H]2c2nnn([C@@H]3CCCO3)n2)c1=O.sdf,6.26628,0.0127778174277074,490.403,12,1,2.7177,False,False,True,False,8.50140781316356,-0.0127778174277074,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7908dd0>,108.78,0.3714794067256199,7
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])[H])c2-c2c([H])nc(C([H])([H])[H])c([H])c2[H])c(=O)c1[H],2100,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2-c2ccc(C)nc2)c1=O.sdf,6.65189,0.0164519615553939,404.322,8,1,2.32962,True,False,True,True,7.22983953706406,-0.0164519615553939,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f5eb20>,94.39,0.5143226680438931,4
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])[H])c2-c2c([H])nc(C(F)(F)F)c([H])c2[H])c(=O)c1[H],1014,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2-c2ccc(C(F)(F)F)nc2)c1=O.sdf,6.84102,0.0148293577504357,461.316,8,1,3.04,True,False,True,True,6.75785673163419,-0.0148293577504357,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7268c10>,94.39,0.461617220600198,4
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])[H])c2O[C@]2([H])N=C(N([H])[H])O[C@@]2([H])c2c([H])c([H])c(OC([H])([H])[H])c(F)c2[H])c(=O)c1[H],2650,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2O[C@H]2C(c3ccc(OC)c(F)c3)OC(N)=N2)c1=O.sdf,6.57909,0.0123349919755215,533.368,12,2,1.898,False,False,True,True,6.86613813638257,-0.0123349919755215,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f4de00>,147.57,0.3306591989991199,7
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])c3c([H])nc(C([H])([H])[H])c([H])c3[H])c2[H])c(=O)c1[H],5874,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OCc3ccc(C)nc3)c2)c1=O.sdf,6.24672,0.0154498642171338,404.322,8,1,2.23302,True,False,True,True,7.28649357714163,-0.0154498642171338,<rdkit.Chem.rdchem.Mol object at 0x7ff0d790ece0>,94.39,0.5025612658827,5
[H]ON=C([H])C([H])([H])Oc1c([H])nc([H])c(-n2c([H])c(N3C(=O)C([H])=C([H])C3=O)c(S[H])c([H])c2=O)c1O[C@]1([H])N=C(N([H])n2nc([H])nc2[H])OC1([H])[H],5961,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OCC=NO)c2O[C@H]2COC(Nn3cncn3)=N2)c1=O.sdf,6.23786,0.0119418248926972,522.354,16,3,-0.2843,False,False,True,True,7.97398475823569,-0.0119418248926972,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7911380>,187.65,0.1122446326601547,8
[H]Sc1c([H])c([H])n(N2[C@@]([H])(OC([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[C@@]2([H])[C@@]2([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(=O)c1[H],14839,fegrow_gen/c1c(S)ccn(N2C(OC)Cc3ccccc3[C@H]2[C@@H]2CCNC2)c1=O.sdf,5.00696,0.0149776694237125,334.295,6,2,1.9544,True,False,True,False,8.202697076567,-0.0149776694237125,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d0e1f0>,46.5,0.8246676445841834,3
