cnnaff,Smiles
5.27916,[H]c1nc(C([H])([H])N(C(=O)n2c([H])c([H])c(N3C([H])([H])C([H])([H])OC([H])([H])[C@@]3([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c2=O)C([H])([H])[H])c([H])c([H])c1[H]
5.25321,[H]c1c([H])c([H])n(C(=O)N([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C(=O)C([H])([H])[H])c(=O)c1C([H])([H])N([H])C(=O)C([H])([H])[H]
5.60376,[H]OC(=O)c1c(C([H])([H])c2c(OC([H])([H])C([H])=C([H])[H])c(-c3nc([H])nc([H])c3[H])c([H])c(=O)n2[H])c(C([H])([H])C(=O)O[H])nn1Oc1c([H])c([H])c(O[H])c([H])c1[H]
5.60579,[H]OC(=O)[C@]([H])(N(C([H])([H])[H])[C@@]([H])(C(=O)c1c([H])c([H])nc([H])c1[H])c1c([H])c([H])c(=O)n(SC(F)(F)F)c1[H])C([H])([H])[H]
5.61576,[H]OC(=O)c1c(C([H])([H])c2c(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])c(-c3nc([H])nc([H])c3[H])c([H])c(=O)n2[H])c(C([H])([H])C(=O)O[H])nn1Oc1c([H])c([H])c(O[H])c([H])c1[H]
4.89402,[H]c1oc([C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N([H])C(=O)n2c([H])c([H])c([H])c([H])c2=O)c([H])c1[H]
6.33618,[H]N=C(N([H])[H])[C@@]([H])(C([H])([H])Cl)[C@@](c1c(-c2c([H])nn([H])c2[H])c(OC([H])([H])C([H])([H])O[H])c([H])n(-c2c([H])nn(C([H])([H])OC([H])([H])C([H])([H])O[H])c2[H])c1=O)(C([H])([H])[H])C([H])(F)F
5.62666,[H]ON(C(=O)C([H])=C(c1oc2c([H])c([H])c([H])c([H])c2c1[H])c1c(N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])O[H])C([H])([H])C2([H])[H])c([H])c(=O)n([H])c1C([H])([H])O[H])C([H])([H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C1([H])[H])C([H])([H])O[H]
6.35726,[H]N=C(N([H])[H])N([H])c1c([H])c([H])c([H])c(-c2c(S[H])c(-c3c([H])c(O[H])c([H])c(O[H])c3[H])c(=O)n([H])c2N=C=S)c1-c1c([H])c([H])c([H])c([H])c1Cl
4.91005,[H]c1c([H])c(S(=O)(=O)N([H])[C@]([H])(c2c([H])c([H])c(=O)n([H])c2[H])N([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])[H]
6.32329,[H]Oc1c([H])c(-c2c(S[H])c(-c3c([H])c([H])c([H])c(N([H])[H])c3C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])c(N=C=S)n([H])c2=O)c([H])c(O[H])c1[N+](=O)[O-]
5.64381,[H]ON=C([H])[C@](c1c([H])nnc([H])c1C(=O)N([H])N([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1OC([H])([H])[H])(C([H])([H])O[H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H]
