Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,TPSA,QED,N_RotBonds,logp_cnn_per_mw
[H]ON([H])C(=O)C(=C([H])c1c([H])c(N([H])C(=O)c2oc([H])c(-c3c([H])c([H])c(OC([H])([H])[H])c(F)c3[H])c2[H])c(=O)n([H])c1[H])C([H])([H])C#N,10074,fegrow_gen/c1(NC(=O)c2cc(-c3ccc(OC)c(F)c3)co2)cc(C=C(C(=O)NO)CC#N)c[nH]c1=O.sdf,5.85336,-0.3598878383985193,435.262,7,4,2.83738,True,False,True,False,7.32065798881845,157.45,0.2437655709473623,7,0.3598878383985193
[H]ON([H])C(=O)[C@]([H])(C(=O)c1c([H])c([H])nc([H])c1[H])C([H])([H])C([H])([H])N([H])C([H])([H])c1c([H])c(Br)c(=O)n(SC(F)(F)F)c1[H],15130,fegrow_gen/c1(Br)cc(CNCC[C@H](C(=O)NO)C(=O)c2ccncc2)cn(SC(F)(F)F)c1=O.sdf,4.85869,-0.4193040432044067,493.176,8,3,2.5061,True,False,True,False,7.67155344522802,113.32000000000002,0.1566138728418966,9,0.4193040432044067
[H]ON(O[C@@]1([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@@]1([H])OC(=O)C([H])([H])[H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n([H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])C#Cc2nc([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],9753,fegrow_gen/c1cc(C(=CC(=O)N(O)OC2C(OC(C)=O)CNCC2)N2CCN(CC#Cc3ccccn3)CC2)c[nH]c1=O.sdf,5.88596,-0.2361796444948379,504.333,10,3,0.2231,True,False,True,False,8.44091451919123,140.32999999999998,0.1480387277212519,7,0.2361796444948379
[H]c1nc([H])c(C([H])([H])n2c(-c3c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c3-c3c(N([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])c4c([H])c([H])c(Cl)c([H])c4[H])c([H])c([H])n([H])c3=O)nc([H])c2[H])c([H])c1F,3,fegrow_gen/c1(-c2ccc(S(N)(=O)=O)cc2-c2nccn2Cc2cncc(F)c2)c(NCC(C)Cc2ccc(Cl)cc2)cc[nH]c1=O.sdf,7.64021,-0.4943093361611726,578.887,7,3,5.0793,False,True,False,False,7.80936123304495,135.76,0.2028470600455288,10,0.4943093361611726
[H]OC([H])([H])C([H])([H])N([H])c1c(Cl)c([H])c([H])c([H])c1C([H])([H])Sc1c([H])c([H])n(C([H])([H])C([H])([H])O[H])c(=O)c1[H],15124,fegrow_gen/c1c(SCc2cccc(Cl)c2NCCO)ccn(CCO)c1=O.sdf,4.86009,-0.3021404016324501,335.707,6,3,2.1905,True,False,False,False,7.82552713100104,74.49000000000001,0.6335853734411815,8,0.3021404016324501
[H]OC([H])([H])C([H])([H])N([H])N([H])C(=O)c1c(SOC([H])([H])[C@]([H])(O[H])N([H])S(=O)(=O)c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c([H])n([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O,11903,fegrow_gen/c1(C(=O)NNCCO)c(SOCC(O)NS(=O)(=O)c2ccc(C)cc2)ccn([C@H](C)CC)c1=O.sdf,5.64308,-0.264920863595955,484.386,10,5,0.67502,True,False,True,True,8.2411082346902,158.99,0.1120770591225633,13,0.264920863595955
[H]c1c([H])c([H])n(C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c(=O)c1C(=O)N([H])[C@]([H])(N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],13524,fegrow_gen/c1(C(=O)N[C@@H](CCC)N2CCCCC2)cccn(CCCC(CC)NC(=O)CC)c1=O.sdf,5.38129,-0.3780189147179546,392.289,5,2,3.2752,True,False,False,True,8.64955489319714,83.44,0.5309529626599224,12,0.3780189147179546
[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])C([H])([H])N([C@@]([H])(C([H])([H])n1c([H])c([H])c([H])c1[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(c1c([H])c([H])c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H])C([H])([H])[H],11918,fegrow_gen/c1cc(C=C(C(=O)NO)CCN([C@H](C)c2ccc(N3CCOCC3)cc2)[C@@H](Cn2cccc2)C(C)C)c[nH]c1=O.sdf,5.6411,-0.4933078366157077,506.372,7,3,4.0799,True,True,True,False,8.81508060492849,102.82999999999998,0.1794457389440003,12,0.4933078366157077
[H]ON([H])C(=O)C(=C([H])c1c([H])c(C([H])([H])C(=O)N(O[H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])N([H])C([H])([H])[H])c(=O)n([H])c1[H])C([H])([H])c1c([H])c([H])c(F)c([H])c1[H],13569,fegrow_gen/c1(CC(=O)N(O)OCCN(CNC)C)cc(C=C(C(=O)NO)Cc2ccc(F)cc2)c[nH]c1=O.sdf,5.37241,-0.2460933971020558,449.269,8,5,0.446099999999999,True,False,True,True,7.2699896710144,147.23,0.1281221437973479,12,0.2460933971020558
[H]c1nc(C([H])([H])O[C@@]([H])(C([H])([H])[H])[C@@](c2c([H])c(C([H])([H])Cl)c([H])n(-c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])c2=O)(C([H])([H])[H])C([H])(F)F)c([H])c([H])c1[H],1721,fegrow_gen/c1([C@@](C)(C(C)OCc2ccccn2)C(F)F)cc(CCl)cn(-c2ccc3ccccc3n2)c1=O.sdf,6.70517,-0.4811431310830693,459.754,5,0,5.64760000000001,True,False,True,True,7.76360545419373,57.01,0.3039088473451193,8,0.4811431310830693
