,Lib_size,Training_size,<-6_cnnaff_per_mw,Time,Avg_cnnaff_per_mw,Cycle,Target_cnn_to_beat
0,15721,149,0,25.57055163383484,0.3671411437927264,0,0.015625
0,15721,249,0,25.22260022163391,0.38603804982047557,1,0.015625
