,Lib_size,Training_size,<-6_cnnaff_per_mw,Time,Avg_cnnaff_per_mw,Cycle,Target_cnn_to_beat
0,15721,249,0,25.397164821624756,0.3969318061424511,0,0.015625
0,15721,449,0,25.19415020942688,0.34326322140820437,1,0.015625
