cnn_per_mw,Smiles
-0.0129689079274945,[H]c1nc(C([H])([H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])SC(F)(F)F)[C@@]([H])(C([H])([H])[H])C([H])(F)F)c(C2=N[C@]([H])(c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C([H])([H])N2[H])c([H])c1[H]
-0.0153739209227717,[H]c1nc2c([C@@]([H])(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])c3nc([H])c(C([H])([H])[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H]
-0.0154498642171338,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])c3c([H])nc(C([H])([H])[H])c([H])c3[H])c2[H])c(=O)c1[H]
-0.0148256590393965,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c(F)nc([H])c(OC([H])([H])[H])c2N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c(=O)c1[H]
-0.0129344890724545,[H]Sc1c(C(=NN([H])C(=S)N([H])[H])C([H])([H])[H])c([H])n(N2[C@@]([H])(c3nc([H])c(F)c([H])c3[H])c3c([H])c([H])c([H])c([H])c3C([H])([H])[C@]2([H])C([H])([H])F)c(=O)c1[H]
-0.0145746398719544,[H]c1nc([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@](c2c([H])c(C([H])([H])Cl)c([H])n([H])c2=O)(C([H])([H])[H])C([H])(F)F)[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H]
-0.0113520028118404,[H]Oc1c([H])c(O[H])c(C([H])([H])[C@@]2([H])OC([H])([H])[C@]([H])(c3nc4c([H])c([H])c([H])c([H])c4o3)C2([H])[H])c(-c2c(S[H])c(-c3c([H])c([H])c([H])c(N([H])[H])c3[H])c(N=C=S)n([H])c2=O)c1[H]
-0.0143200320111571,[H]c1c([H])c(C([H])([H])S(=O)(=O)C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])C([H])([H])c1c([H])c(F)c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c1[H]
-0.0147411065365221,[H]c1nc([H])n(N(c2c([H])c([H])n([H])c(=O)c2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])[C@]([H])(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])n1
-0.014238850781881,[H]O[C@]1([H])C([H])([H])N(c2nc([H])c(C([H])([H])[C@@]([H])([C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])[C@@]([H])(c3c(-c4c([H])c([H])c([H])n4[H])c([H])c([H])n([H])c3=O)C([H])([H])[H])c([H])n2)C([H])([H])C([H])([H])C1([H])[H]
-0.0148412135568601,[H]c1nc(-c2c([H])c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])n3c([H])c([H])c([H])c([C@@]([H])(C([H])([H])c4nc([H])c([H])n4C([H])([H])N([H])[H])C([H])([H])C([H])([H])[H])c3=O)c2[H])c([H])c([H])c1[H]
