,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,Smiles,cnn_per_mw,Mol,TPSA,QED,Mol_Weight,N_RotBonds
13163,13163,fegrow_gen/c1(CNC(C)=O)cccn(C(=O)N[C@H]2CCC[C@@H]2C(COCCN)=O)c1=O.sdf,5.4526,-5.4526,352.221,7,3,-0.2448,True,False,False,False,7.93061188513749,[H]c1c([H])c([H])n(C(=O)N([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C(=O)C([H])([H])OC([H])([H])C([H])([H])N([H])[H])c(=O)c1C([H])([H])N([H])C(=O)C([H])([H])[H],-0.0154806215415889,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfdf0>,132.52,0.534710074638175,378.429,8
13164,13164,fegrow_gen/c1c(SNC(=O)OCCc2cccc(C(=O)O)c2)ccn(-c2cc(C(=O)c3cccs3)nn2C)c1=O.sdf,5.45252,-5.45252,504.42,10,2,3.5377,False,False,True,True,7.64685193896071,[H]OC(=O)c1c([H])c([H])c([H])c(C([H])([H])C([H])([H])OC(=O)N([H])Sc2c([H])c([H])n(-c3c([H])c(C(=O)c4sc([H])c([H])c4[H])nn3C([H])([H])[H])c(=O)c2[H])c1[H],-0.0108094841600254,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfe60>,132.52,0.251006526193379,524.58,9
13165,13165,fegrow_gen/c1c(S)c(-c2cccc(N)c2Cc2c(C)n[nH]c2C(=O)O)c(N=C=S)[nH]c1=O.sdf,5.45239,-5.45239,398.364,7,5,2.96762,True,False,True,True,7.3195036971543,[H]OC(=O)c1c(C([H])([H])c2c(-c3c(S[H])c([H])c(=O)n([H])c3N=C=S)c([H])c([H])c([H])c2N([H])[H])c(C([H])([H])[H])nn1[H],-0.013686954644496,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfed0>,137.22,0.188704951122487,413.484,5
13166,13166,fegrow_gen/c1cc(C=CC(=O)NO)c(Br)n(-c2ccc3ccccc3n2)c1=O.sdf,5.45219,-5.45219,374.109,5,2,2.6668,True,False,True,False,6.99758539730449,[H]ON([H])C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n(-c2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])c1Br,-0.0145738006837579,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dff40>,84.22,0.31384001979587,386.205,3
13167,13167,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c([C@@H]2CCCO2)c[nH]c1=O.sdf,5.45207,-5.45207,284.255,4,3,2.6408,True,False,True,False,6.72182911797349,[H]Sc1c([C@@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1-c1c([H])c([H])c([H])c(C([H])([H])N([H])[H])c1[H],-0.0191802079119101,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4040>,68.11,0.763544251977933,302.399,3
13168,13168,fegrow_gen/c1c(N2CCO[C@@H](C(CN(COCCN(CC)CC)C)C(=O)OC)C2)c(-c2ccnnc2)c[nH]c1=O.sdf,5.45167,-5.45167,464.312,10,1,1.074,True,False,True,True,8.60572131198237,[H]c1nnc([H])c(-c2c(N3C([H])([H])C([H])([H])O[C@@]([H])([C@@]([H])(C(=O)OC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])OC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C3([H])[H])c([H])c(=O)n([H])c2[H])c1[H],-0.0117413937180172,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e40b0>,113.12,0.242435963478356,502.616,13
13169,13169,fegrow_gen/c1(-n2c(C(=O)NCC)cnc2)cc(C(=O)N[C@H](C)NCCN(C)C)c[nH]c1=O.sdf,5.45157,-5.45157,362.244,7,4,-0.4627,True,False,True,True,7.67429895829745,[H]c1nc([H])n(-c2c([H])c(C(=O)N([H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c([H])n([H])c2=O)c1C(=O)N([H])C([H])([H])C([H])([H])[H],-0.0150494418127008,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4120>,124.15,0.430299498165519,389.46,9
13170,13170,fegrow_gen/c1(C(=O)N[C@H](C)CC(N)=O)c(SNC(=O)OCCNC(c2cccs2)NC2CC2)cc[nH]c1=O.sdf,5.45135,-5.45135,480.402,9,6,1.2038,False,False,True,True,8.12356871399878,[H]c1sc([C@]([H])(N([H])C([H])([H])C([H])([H])OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])[H])N([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],-0.0113474756558049,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4190>,167.44,0.133294160583143,508.626,13
13171,13171,fegrow_gen/c1c(SCc2ccc(OC)cc2)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,5.4513,-5.4513,328.264,5,1,2.1052,True,False,True,True,7.0876492103444,[H]C1=C([H])C(=O)N(c2c(SC([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c(=O)n([H])c2[H])C1=O,-0.0166064509053688,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4200>,79.47,0.664880924781651,342.376,5
13172,13172,fegrow_gen/c1(C(=O)NC[C@H](CCC=CC(=O)NO)c2cccc(CN)c2)cc(Br)c[nH]c1=O.sdf,5.45116,-5.45116,440.148,5,5,1.9515,True,False,True,False,7.33731173650249,[H]ON([H])C(=O)C([H])=C([H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c(C([H])([H])N([H])[H])c1[H])C([H])([H])N([H])C(=O)c1c([H])c(Br)c([H])n([H])c1=O,-0.0123848341921354,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4270>,137.31,0.219997656318163,463.332,9
13173,13173,fegrow_gen/c1(C(=O)NN)c(SOC[C@@H](O)Cc2c(CCCO)cc(F)cc2)cc[nH]c1=O.sdf,5.45112,-5.45112,389.279,7,5,0.6697,True,False,True,True,7.13020461285696,[H]OC([H])([H])C([H])([H])C([H])([H])c1c([H])c(F)c([H])c([H])c1C([H])([H])[C@]([H])(O[H])C([H])([H])OSc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[H],-0.0140031185858985,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e42e0>,137.67,0.1676475052353,411.455,10
13174,13174,fegrow_gen/c1ccc([C@H](c2c(C)nn(C(=O)N3CCCC3c3ccncc3)c2C(=O)O)C2CC2)[nH]c1=O.sdf,5.45102,-5.45102,422.295,6,2,3.32012,True,False,False,False,7.86049807564158,[H]OC(=O)c1c([C@@]([H])(c2c([H])c([H])c([H])c(=O)n2[H])C2([H])C([H])([H])C2([H])[H])c(C([H])([H])[H])nn1C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])c([H])nc([H])c1[H],-0.0129080855799856,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4350>,121.18,0.618873980610065,447.495,5
13175,13175,fegrow_gen/c1cc(C=CC(=O)N(OCC#N)CCCOc2ccc(COC)c(C)c2)c[nH]c1=O.sdf,5.45041,-5.45041,386.258,6,1,2.5958,True,False,True,False,6.49789631810776,[H]C(C(=O)N(OC([H])([H])C#N)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c(C([H])([H])OC([H])([H])[H])c(C([H])([H])[H])c1[H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H],-0.0141108015885755,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e43c0>,104.65,0.346200466655727,411.458,11
13176,13176,fegrow_gen/c1cc(C(=CC(=O)NO)N2CC(NC(=O)OCC)N(Cc3ccco3)CC2)c[nH]c1=O.sdf,5.45023,-5.45023,406.249,8,4,0.7042,True,False,True,False,7.61427947611839,[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n([H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])c2oc([H])c([H])c2[H])[C@@]([H])(N([H])C(=O)OC([H])([H])C([H])([H])[H])C1([H])[H],-0.0134159837931909,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4430>,140.14,0.285399385609844,431.449,7
