cnnaff,Smiles
5.93146,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])[H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])N([H])N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
5.23448,[H]ON([H])C(=O)C([H])=C([H])c1c(C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])[C@@]([H])(N([H])C([H])(P(=O)(O[H])O[H])P(=O)(O[H])O[H])C3([H])[H])c2[H])c([H])c(=O)n([H])c1[H]
5.60672,[H]OC([H])([H])C([H])([H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1C([H])([H])N(n1c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])OC([H])([H])[H]
5.88277,[H]OC([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])nc([H])c1C([H])([H])N([H])[C@](OC([H])([H])C([H])([H])[H])(c1c(C([H])(F)F)c([H])c(=O)n([H])c1[H])N([H])C([H])([H])[H])N([H])C([H])([H])c1c([H])nc([H])c([H])c1[H]
5.97714,[H]C#CC([H])([H])O[C@](N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(C(=O)N([H])O[H])=C([H])c1c([H])c([H])c(=O)n(N([H])C([H])([H])C(=O)O[H])c1[H])(C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c(F)c1[H]
4.85352,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])n(-c2c([H])c([H])c([H])n2[H])c(=O)c1[H]
5.07785,[H]O[C@@]([H])(F)C([H])([H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[C@@]([H])(OC(=O)C([H])([H])[H])N([H])C([H])([H])[H]
4.87947,[H]OC([H])([H])[C@]([H])(OSc1c([H])c([H])n(-c2nnc(C([H])([H])[H])o2)c(=O)c1C(=O)N([H])N([H])[H])C([H])([H])N([H])C([H])([H])[H]
5.86641,[H]C#CC([H])([H])O[C@](N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(C(=O)N([H])O[H])=C([H])c1c([H])c([H])c(=O)n(N([H])C([H])([H])[H])c1[H])(C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c(F)c1[H]
5.07886,[H]c1c(C2=NC([H])([H])C([H])([H])N2[H])c(C(=O)N([H])[C@]([H])(N2C([H])([H])C([H])([H])C([H])(C([H])(F)F)C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])c(=O)n([H])c1[H]
5.61025,[H]c1sc(C([H])([H])N([H])C([H])([H])C([H])([H])OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c([H])c1-c1nc2c([H])c([H])c([H])c([H])c2c([H])c1OC([H])(C([H])([H])[H])C([H])([H])[H]
5.07897,[H]c1oc(C(=O)N([H])C([H])([H])S(=O)(=O)N([H])c2c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(=O)n2[H])c([H])c1[H]
5.43977,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])N2C([H])([H])[C@@]([H])(C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])O[C@@]([H])(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H])c([H])c(C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(=O)n([H])c2[H])c1Cl
4.88436,[H]c1nc([H])c([C@]2([H])C([H])([H])OC([H])([H])C([H])([H])[C@]2([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])nc1[H]
6.78713,[H]OC([H])([H])C([H])([H])O[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])n(OC([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])c2nc(C([H])([H])[H])sc2[H])c1=O)C([H])([H])[H]
4.84709,[H]c1oc([H])c(-n2c([H])c([H])c([H])c(N3C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C3([H])[H])c2=O)c1[H]
6.99883,[H]c1c(C(F)(F)F)nc(C([H])([H])[C@@](C([H])([H])[H])(C([H])([H])C([H])([H])[C@@](c2c([H])c([H])c([H])n([H])c2=O)(C([H])([H])[H])C([H])(F)F)[C@]([H])(OOc2c([H])c([H])c(Cl)c([H])c2[H])c2c([H])c([H])c([H])n2[H])c([H])c1[H]
3.83396,[H]Sc1c([H])c(N=C=S)n([H])c(=O)c1[H]
5.0726,[H]C([H])=C([H])C(=O)N([H])OC(=O)c1c(C([H])(c2c([H])c([H])c([H])c(=O)n2[H])N([H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])nn1[H]
6.0298,[H]c1nc(OC([H])([H])[H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(c2c(N3C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])c([H])c(SC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])n([H])c2=O)C([H])([H])[H])c1[H]
4.89288,[H]c1c([C@@]([H])(N([H])C(=O)c2c(C(=O)N([H])C([H])([H])[H])c(Br)c([H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])[H])c([H])c2c([H])c([H])n([H])c2c1[H]
5.08533,[H]C#Cc1c([H])c(S[C@@]([H])(C(=O)OC([H])([H])[H])c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])c([H])c(=O)n1[H]
4.83344,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c(C([H])(F)F)c([H])c(=O)n([H])c1[H]
5.85425,[H]C#C[C@]1([H])[C@]([H])(N=C=S)[C@]([H])(C([H])([H])C(=O)O[H])[C@]([H])(N([H])C(=O)n2c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(C(=O)N([H])C([H])([H])C([H])([H])O[H])c2=O)[C@@]1([H])C(=O)C([H])([H])[H]
6.23775,[H]c1nc([H])c(-n2c([H])c(-c3oc([H])c([H])c3[H])c(Sc3c([H])c4c([H])c([H])c([H])c([H])c4n3[H])c(C(=O)N([H])N([H])[H])c2=O)c([H])c1[H]
