cnn_per_mw,Smiles
-0.0178594125276948,[H]c1nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n(C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2=O)C([H])([H])C([H])([H])[H])n(C([H])([H])[H])c1[H]
-0.0156356500473335,[H]c1oc([H])c(-n2c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c(N3C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C3([H])[H])c2=O)c1[H]
-0.0120219126314898,[H]c1nc(Oc2c([H])nc(-c3c([H])nn(C([H])([H])c4c([H])sc5c([H])c([H])c([H])c([H])c45)c3[H])c([H])c2[H])c([H])c(-c2c(C([H])([H])N([H])C([H])([H])[H])c([H])n([H])c(=O)c2[H])c1[H]
-0.0153449336933216,[H]c1c(C([H])([H])N([H])C([H])([H])[H])c([H])n([H])c(=O)c1N1C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-0.0157381549368839,[H]c1nc(C([H])([H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([C@@]([H])(c2sc([H])c([H])c2[H])c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])c1[H]
-0.0153008402886106,[H]c1oc([H])c(-n2c([H])c([H])c(N3C([H])([H])C([H])([H])C3([H])[H])c(-c3sc4c([H])c([H])c([H])c(N([H])S(=O)(=O)N([H])[H])c4c3[H])c2=O)c1[H]
-0.0160213729432684,[H]c1c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])n(C([H])([H])c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
-0.016151385621665,[H]c1c([H])c([H])n(-c2c(OS(=O)(=O)N([H])[H])nn(C([H])([H])[H])c2[H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
-0.0154787857057487,[H]C([H])=C([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H]
-0.0136273233705782,[H]SC([H])([H])[C@]([H])(C([H])([H])c1c([H])c(F)c([H])c(C([H])([H])N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0140760995628512,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H])N(N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
-0.0172241537914434,[H]c1c([H])c([H])n([C@@]([H])(ON([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]1([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
-0.0176979891342693,[H]c1oc([H])c(-n2c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(-c3sc4c([H])c([H])c([H])c([H])c4c3[H])c2=O)c1[H]
-0.014211887153305,[H]N=[N+]=N[C@@]([H])(N([H])c1c([H])c([H])c(F)c([H])c1[H])[C@@](c1c([H])c([H])c([H])n(-c2c([H])nn(C([H])([H])[H])c2[H])c1=O)(C([H])(F)F)C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]
-0.0157723625541154,[H]c1c([H])c(C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])N([H])C([H])([H])[H])C2([H])[H])c(F)c(-n2c([H])c([H])c([H])c(C3([H])C([H])([H])C3([H])[H])c2=O)c1F
-0.0179550742965539,[H]c1nc(C([H])([H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])c2sc([H])c([H])c2[H])c1[H]
-0.0184703497630391,[H]c1nc(C([H])([H])c2c([H])c(F)c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])[H])c2[H])c([H])c([H])c1[H]
-0.0152381864243752,[H]c1c([H])c([H])n(-c2c(OS(=O)(=O)N([H])[H])nn(C([H])([H])[H])c2[H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
-0.0127129313024557,[H]C([H])=C([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])c2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])c([H])c1[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H]
-0.0138166920051676,[H]c1c([H])c(-c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)c(F)c(-n2c([H])c([H])c([H])c([C@]3([H])C([H])([H])[C@@]3([H])[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c2=O)c1F
-0.0153096752756967,[H]c1c(OC([H])([H])[H])nc([C@]([H])(C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c([H])c1[H]
-0.0136102854727275,[H]O[C@]([H])([C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(Oc2c([H])c([H])c([H])c([H])c2[H])C1([H])[H])[C@@]([H])(c1c([H])c([H])c([H])c(Br)c1[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0148177580132892,[H]OC([H])([H])C([H])([H])[C@@]([H])(c1c([H])c(-c2sc([H])c([H])c2[H])c([H])n([C@]([H])(O[H])c2c([H])c([H])c([H])c([H])c2N([H])C([H])([H])C([H])([H])N([H])[H])c1=O)C([H])([H])[H]
-0.0164971536774845,[H]OC([H])([H])C([H])([H])[C@@]([H])(c1c([H])c(-c2sc([H])c([H])c2[H])c([H])n([C@]([H])(O[H])c2c([H])c([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H]
-0.0173855674950946,[H]N=[N+]=Nc1c(F)c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c([H])c1C([H])([H])c1nc([H])c([H])c([H])c1[H]
-0.0172330226057224,[H]c1nc([H])c(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
-0.0179513058645504,[H]c1nc([H])c(C([H])([H])[C@](c2c([H])c([H])c([H])n([H])c2=O)(C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])nc23)c([H])c1[H]
-0.0135949670336102,[H]C([H])=C([H])[C@]([H])(c1c([H])nn([H])c1[H])[C@@]([H])(OC([H])([H])[C@@]1([H])C([H])([H])[C@]1([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H]
-0.0145118700724093,[H]c1nc([H])c(-n2c(N=C=S)c([H])c(SN([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(-c3nc([H])c([H])c([H])c3[H])c2=O)s1
-0.0142573859810223,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1S(=O)(=O)C([H])([H])c1nc(C([H])([H])[H])sc1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O
-0.0130948031153715,[H]c1c([H])c(S(=O)(=O)N([H])[H])c(C(=C2SC(=O)N([H])C2=O)c2oc3c([H])c([H])c([H])c([H])c3c2[H])c([H])c1-c1c([H])c([H])c([H])n([H])c1=O
-0.0168897585673554,[H]N=C(c1c(SC([H])([H])c2c([H])c([H])c(C([H])=O)c(Cl)c2[H])c([H])c(=O)n([H])c1[H])N([H])[H]
-0.0132090021466102,[H]c1nc([H])c(C#C[C@]([H])(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(c2c(SC(F)(F)F)c([H])c([H])n([H])c2=O)C([H])([H])c2nc([H])c([H])n2C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
-0.0160044661496564,[H]c1nn(C([H])([H])[H])c([H])c1[C@@]([H])(c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C(F)(F)F)n1c([H])nc([H])c1[H]
-0.0155231731413634,[H]c1nc(C#C[C@@]2([H])N(C([H])([H])n3c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c3=O)C([H])([H])C([H])([H])N([H])[C@@]2([H])c2c([H])sc([H])c2[H])c([H])c([H])c1[H]
-0.0164227108172707,[H]c1nc(Cl)c([H])c([H])c1[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])[C@]([H])(C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H])[C@@]1([H])C([H])([H])[C@@]1([H])N([H])[H]
-0.0138126731180533,[H]c1nc([H])c(C([H])([H])[C@@]([H])([C@]2([H])C([H])([H])C([H])([H])N([H])[C@]2([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c(-c2nc3c([H])c([H])c([H])c([H])c3o2)n1
-0.0153977990603344,[H]O[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@@](c1c([H])c([C@]([H])(Cl)n2nc([H])nc2[H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])(F)F
-0.0129618608846364,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1C([H])([H])N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])n1c([H])c([H])c(C([H])([H])c2nc([H])c([H])c([H])c2[H])c([C@@]([H])(C([H])([H])OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O
-0.0119267708371975,[H]c1nn(-c2c(F)c([H])c([H])c([H])c2[C@](OC([H])([H])C([H])([H])OC([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])I)c([H])c1[H]
-0.0131401533480465,[H]c1nc(C([H])([H])[C@]([H])(C([H])([H])ON([H])S(=O)(=O)c2c([H])c([H])c(-c3c([H])c([H])c([H])n([H])c3=O)c(C([H])([H])C([H])([H])OC([H])([H])[H])c2[H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1[H]
