Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,TPSA,QED,N_RotBonds,logp_cnn_per_mw
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])N([H])N(C(=O)c1c(S[H])c([H])c([H])n(-c2nnn([H])n2)c1=O)C([H])=C1SC(=S)N([H])C1=O,10617,fegrow_gen/c1(C(=O)N(NC[C@H](N)C(=O)O)C=C2SC(=S)NC2=O)c(S)ccn(-c2nn[nH]n2)c1=O.sdf,5.79656,-0.0919848734984964,470.413,13,6,-2.0127,False,True,True,True,7.34926423051159,201.22,0.1094650192545679,7,0.0919848734984964
[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])[C@@]([H])(C([H])([H])c1oc([H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]1([H])O[C@@]([H])(c2nnnn2[H])[C@@]([H])(C([H])=O)C1([H])[H],8149,fegrow_gen/c1cc(C=C(C(=O)NO)C[C@H](CC[C@@H]2C[C@H](C=O)C(c3nnn[nH]3)O2)Cc2ccco2)c[nH]c1=O.sdf,6.04477,-0.3019243661028476,456.289,9,4,1.7443,True,False,True,True,8.3434623171983,176.09,0.1371756627609993,11,0.3019243661028476
[H]OC(=O)c1c([C@](OC(=O)C([H])([H])[H])(c2c([H])c([H])c([H])c(=O)n2[H])C(F)(F)[P@@](=O)(O[H])Oc2c([H])c([H])c([H])c(N([H])[H])c2[H])c(C([H])([H])[H])nn1[H],13357,fegrow_gen/c1ccc([C@@](c2c(C)n[nH]c2C(=O)O)(C(F)(F)[P@@](=O)(O)Oc2cccc(N)c2)OC(C)=O)[nH]c1=O.sdf,5.41719,-0.3845566738465574,493.21,8,5,2.35072,True,False,True,True,6.82930204297674,197.69,0.1696067233917616,8,0.3845566738465574
[H]c1nc(C([H])([H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2N([H])C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c([H])c1[H],5810,fegrow_gen/c1([C@@H](C)CCc2ccc(Cl)c(Cl)c2NC(NCCOC)=O)c(Cc2ccccn2)cc[nH]c1=O.sdf,6.25304,-0.5008511222597639,475.206,4,3,5.1717,False,False,False,False,7.76499099018142,96.11,0.3327738311951959,10,0.5008511222597639
[H]OC([H])([H])C([H])([H])N([H])C(=O)[C@@](F)(Sc1c([H])c([H])n([H])c(=O)c1[H])c1c([H])c([H])c([H])c(Cl)c1-c1c([H])c([H])nc(OC([H])([H])[H])c1-c1nc([H])c([H])c([H])n1,2188,fegrow_gen/c1c(S[C@](c2cccc(Cl)c2-c2ccnc(OC)c2-c2ncccn2)(F)C(=O)NCCO)cc[nH]c1=O.sdf,6.63985,-0.4196842487451506,520.824,8,3,3.579,True,False,False,False,6.59118149011366,130.09,0.2741191473909509,9,0.4196842487451506
[H]OC(=O)[C@]([H])(c1c([H])c(S[H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(=O)n1N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H])C([H])([H])C(=O)N([H])O[H],6740,fegrow_gen/c1(CCCCCC)c(S)cc([C@H](CC(=O)NO)C(=O)O)n(N2CCc3ccccc3C2)c1=O.sdf,6.16751,-0.3584204735908468,442.347,7,4,3.0178,True,False,True,False,8.15508510765194,111.87,0.182689428210004,10,0.3584204735908468
[H]c1c([H])c([H])c(C([H])([H])C(=O)N([H])c2c(N3C([H])([H])C([H])([H])O[C@@]([H])([C@@]4([H])C([H])([H])N([H])C([H])([H])[C@@]4([H])C#N)[C@]3([H])C(=O)C(F)(F)F)c([H])c([H])n([H])c2=O)c([H])c1[H],5851,fegrow_gen/c1(NC(=O)Cc2ccccc2)c(N2CCO[C@@H]([C@@H]3C(C#N)CNC3)[C@@H]2C(=O)C(F)(F)F)cc[nH]c1=O.sdf,6.24874,-0.298735184487978,479.289,7,3,1.62048,True,False,False,True,8.06408773964407,127.32,0.5468011695428269,6,0.298735184487978
[H]c1nc([H])c([H])c(-c2c([H])c(Cl)c(C([H])([H])N([H])C([H])([H])c3c([H])c([H])c(=O)n([H])c3C([H])([H])N([H])C([H])([H])[H])c([H])c2C#N)n1,14419,fegrow_gen/c1cc(CNCc2cc(C#N)c(-c3ccncn3)cc2Cl)c(CNC)[nH]c1=O.sdf,5.16323,-0.3270108418770486,375.714,6,3,2.36618,True,False,False,False,7.58955870414081,106.49,0.5676153333755569,7,0.3270108418770486
[H]c1oc([C@@]([H])(Sc2c([H])c([H])n([H])c(=O)c2[H])c2c([H])c(Cl)c([H])c([H])c2C([H])([H])N([H])C([H])([H])C([H])([H])[H])c([H])c1[H],14455,fegrow_gen/c1c(SC(c2c(CNCC)ccc(Cl)c2)c2ccco2)cc[nH]c1=O.sdf,5.14874,-0.4301396599371935,355.741,4,2,4.6125,True,False,False,False,6.62214998229185,58.03,0.5926237364251979,7,0.4301396599371935
[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1C([H])([H])O[H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])OOC([H])([H])C1([H])C([H])([H])C1([H])[H],14653,fegrow_gen/c1cc(C=CC(=O)N(O)CC(COOCC2CC2)C(=O)NCCOC)c(CO)[nH]c1=O.sdf,5.08278,-0.2030663481356359,410.233,8,4,-0.1648,True,False,True,True,8.05254604881032,150.42,0.1026185648688741,14,0.2030663481356359
[H]C(=C1SC(=S)N([H])C1=O)c1c(-c2c([H])c([H])c([H])c([H])c2[H])c(SC([H])([H])C(=O)OC([H])([H])[H])c([H])c(=O)n1[H],13226,fegrow_gen/c1c(SCC(=O)OC)c(-c2ccccc2)c(C=C2SC(=S)NC2=O)[nH]c1=O.sdf,5.44188,-0.3573453210172503,404.409,7,2,2.7958,True,True,True,True,7.05976915415862,88.25999999999999,0.3340573835536846,5,0.3573453210172503
[H]ON([H])C(=O)C(=C([H])c1c(-c2c([H])c([H])c([H])c(Cl)c2Cl)c([H])c(=O)n([H])c1[H])C([H])([H])C#N,10142,fegrow_gen/c1c(-c2cccc(Cl)c2Cl)c(C=C(C(=O)NO)CC#N)c[nH]c1=O.sdf,5.84762,-0.3027556175246705,353.1,4,3,3.15118,True,False,True,False,6.67554223910739,105.98,0.4401735972880191,4,0.3027556175246705
[H]O[C@@]1([H])C([H])([H])N(c2c(S(=O)(=O)N([H])[H])c([H])c([H])c(-c3c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c([H])n(SC([H])([H])[H])c3=O)c2S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H],9601,fegrow_gen/c1(-c2ccc(S(N)(=O)=O)c(N3CC[C@@H](O)C3)c2S(C)(=O)=O)c(CCNC(C)=O)ccn(SC)c1=O.sdf,5.90065,-0.2215600802035253,516.453,10,3,-0.0580999999999998,True,False,False,False,7.66180334282806,168.86999999999998,0.4121198181618906,8,0.2215600802035253
[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[C@@]([H])(c1c([H])c(C#Cc2c([H])c([H])c([H])c([H])c2[H])c([H])n([H])c1=O)C([H])([H])[H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])O[C@@]([H])(C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],7992,fegrow_gen/c1([C@@H](C)C[C@@H]([C@@H]2CCC[C@@H]2OC(CO)CCCC)CCC(=O)NO)cc(C#Cc2ccccc2)c[nH]c1=O.sdf,6.05731,-0.5022422315945588,480.35,5,4,4.9065,True,False,True,False,8.99014874575122,111.65,0.1697513887878286,13,0.5022422315945588
[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1C([H])([H])c1c([H])c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(C([H])=C([H])C(=O)c2oc([H])c([H])c2[H])c1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],9940,fegrow_gen/c1cc(C=C(C(=O)NO)CC(C)C)c(Cc2ccc(OCCCCCC)c(C=CC(=O)c3ccco3)c2)[nH]c1=O.sdf,5.86611,-0.6261662374192581,508.360000000001,6,3,6.3488,False,False,True,False,8.24815659777042,121.63,0.0671457962706602,15,0.6261662374192581
[H]c1c([H])c(Br)c([H])c(C([H])([H])[C@@]([H])(OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],7324,fegrow_gen/c1c(SNC(=O)O[C@H](Cc2cccc(Br)c2)CC(C[C@@H](CC)CCC)CCCN)cc[nH]c1=O.sdf,6.1161,-0.6194884876533407,514.275,5,3,6.4436,False,False,True,True,8.76492973962574,97.21,0.2209660834691985,15,0.6194884876533407
[H]c1c([H])c(OC([H])([H])[H])c([H])c([C@](c2c(C([H])([H])[H])noc2C([H])([H])[H])(C([H])([H])N([H])C(=O)c2c([H])c(Br)c(C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n([H])c2=O)C([H])([H])C([H])([H])[H])c1[H],11334,fegrow_gen/c1(C(=O)NC[C@@](CC)(c2c(C)noc2C)c2cccc(OC)c2)cc(Br)c(CCN2CCCCC2)[nH]c1=O.sdf,5.7161,-0.5684858371787426,548.247,6,2,4.90534000000001,True,False,False,False,8.32955497164556,100.46,0.3511280702414658,10,0.5684858371787426
